epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,10068.9,0.4701,0.23127,0.83359,0.98285,0.98302,0.99386,0.92418,0.45147,0.20196,0.82512,0.0010405,0.0010405,0.0010405
183,11323.4,0.46928,0.23073,0.83346,0.9828,0.98318,0.99385,0.92435,0.45082,0.20172,0.82499,0.000991,0.000991,0.000991
184,12580.2,0.46717,0.22964,0.83196,0.98262,0.98329,0.99385,0.92454,0.4501,0.20148,0.82469,0.0009415,0.0009415,0.0009415
185,13841.8,0.46573,0.22862,0.8316,0.98252,0.98343,0.99384,0.92487,0.4494,0.20116,0.82438,0.000892,0.000892,0.000892
186,15098.5,0.46481,0.22787,0.83178,0.98238,0.98363,0.99383,0.92509,0.44871,0.20097,0.82418,0.0008425,0.0008425,0.0008425
187,16357.7,0.46289,0.22691,0.83101,0.98251,0.98353,0.99383,0.92533,0.44798,0.20061,0.82398,0.000793,0.000793,0.000793
188,17616.9,0.46196,0.22659,0.83068,0.98274,0.9834,0.99383,0.92565,0.44724,0.20037,0.82372,0.0007435,0.0007435,0.0007435
189,18875.9,0.4593,0.2253,0.82989,0.98292,0.9834,0.99384,0.92582,0.44655,0.20009,0.82342,0.000694,0.000694,0.000694
190,20125.5,0.45709,0.22416,0.8298,0.98303,0.98343,0.99383,0.92602,0.44584,0.19985,0.82312,0.0006445,0.0006445,0.0006445
191,21428.8,0.43929,0.20729,0.81888,0.98308,0.9837,0.99386,0.92631,0.44486,0.19935,0.82263,0.000595,0.000595,0.000595
192,22673.5,0.43355,0.20496,0.81727,0.98339,0.98372,0.99387,0.92671,0.44364,0.19882,0.82211,0.0005455,0.0005455,0.0005455
193,23920.9,0.42998,0.20329,0.81529,0.98371,0.98375,0.99389,0.92704,0.4425,0.19826,0.82158,0.000496,0.000496,0.000496
194,25164.3,0.42616,0.20121,0.81455,0.98381,0.98391,0.9939,0.92746,0.44131,0.1977,0.82114,0.0004465,0.0004465,0.0004465
195,26405,0.42206,0.19952,0.81379,0.98385,0.98407,0.9939,0.92774,0.44014,0.19719,0.82079,0.000397,0.000397,0.000397
196,27649.3,0.41925,0.19802,0.81412,0.98389,0.98422,0.99391,0.92822,0.43898,0.19678,0.82053,0.0003475,0.0003475,0.0003475
197,28896.1,0.41603,0.19634,0.81246,0.98355,0.98452,0.9939,0.92851,0.438,0.19639,0.8202,0.000298,0.000298,0.000298
198,30140.6,0.41277,0.19465,0.812,0.98356,0.98455,0.9939,0.92883,0.43701,0.19599,0.81993,0.0002485,0.0002485,0.0002485
199,31383,0.40977,0.19322,0.8104,0.98343,0.98479,0.9939,0.92924,0.43613,0.1957,0.81957,0.000199,0.000199,0.000199
200,32627,0.40679,0.19201,0.80959,0.98349,0.98485,0.99389,0.92949,0.43532,0.19534,0.81921,0.0001495,0.0001495,0.0001495
